season,phase,date,home_team,away_team,home_goals,away_goals,result,goal_diff,total_goals,home_pts,away_pts
2015,Apertura,2015-01-14,Unión Magdalena,Millonarios,2,3,A,-1,5,0,3
2015,Apertura,2015-01-14,Unión Magdalena,Medellín,0,1,A,-1,1,0,3
2015,Apertura,2015-01-15,Pasto,Deportivo Pereira,3,1,H,2,4,3,0
2015,Apertura,2015-01-15,Once Caldas,Deportivo Pereira,1,2,A,-1,3,0,3
2015,Apertura,2015-01-16,Águilas Doradas,Once Caldas,2,1,H,1,3,3,0
2015,Apertura,2015-01-16,Bucaramanga,Atlético Nacional,2,1,H,1,3,3,0
2015,Apertura,2015-01-16,Bucaramanga,Deportivo Pereira,4,1,H,3,5,3,0
2015,Apertura,2015-01-17,Alianza Petrolera,Águilas Doradas,0,2,A,-2,2,0,3
2015,Apertura,2015-01-17,Envigado,Deportivo Pereira,1,1,D,0,2,1,1
2015,Apertura,2015-01-18,Bucaramanga,Once Caldas,1,0,H,1,1,3,0
2015,Apertura,2015-01-18,La Equidad,Bucaramanga,2,2,D,0,4,1,1
2015,Apertura,2015-01-19,Patriotas,Tolima,3,1,H,2,4,3,0
2015,Apertura,2015-01-19,Junior,Medellín,1,1,D,0,2,1,1
2015,Apertura,2015-01-20,Jaguares,Deportivo Cali,1,0,H,1,1,3,0
2015,Apertura,2015-01-20,Deportivo Pereira,Unión Magdalena,2,0,H,2,2,3,0
2015,Apertura,2015-01-21,América de Cali,Junior,1,3,A,-2,4,0,3
2015,Apertura,2015-01-21,Atlético Nacional,Deportivo Cali,0,2,A,-2,2,0,3
2015,Apertura,2015-01-23,Alianza Petrolera,Deportivo Pereira,1,2,A,-1,3,0,3
2015,Apertura,2015-01-24,Deportivo Cali,Deportivo Pereira,3,0,H,3,3,3,0
2015,Apertura,2015-01-25,Deportivo Pereira,Deportivo Cali,0,1,A,-1,1,0,3
2015,Apertura,2015-01-25,Envigado,Junior,1,1,D,0,2,1,1
2015,Apertura,2015-01-25,Águilas Doradas,Pasto,1,1,D,0,2,1,1
2015,Apertura,2015-01-26,América de Cali,Alianza Petrolera,0,2,A,-2,2,0,3
2015,Apertura,2015-01-27,Tolima,Medellín,2,0,H,2,2,3,0
2015,Apertura,2015-01-27,Envigado,Medellín,0,0,D,0,0,1,1
2015,Apertura,2015-01-28,Medellín,Junior,0,0,D,0,0,1,1
2015,Apertura,2015-02-01,Once Caldas,Pasto,4,2,H,2,6,3,0
2015,Apertura,2015-02-02,Águilas Doradas,Millonarios,1,1,D,0,2,1,1
2015,Apertura,2015-02-02,Boyacá Chicó,Águilas Doradas,1,0,H,1,1,3,0
2015,Apertura,2015-02-03,Atlético Nacional,Junior,2,0,H,2,2,3,0
2015,Apertura,2015-02-03,Bucaramanga,América de Cali,1,0,H,1,1,3,0
2015,Apertura,2015-02-03,Junior,Unión Magdalena,3,1,H,2,4,3,0
2015,Apertura,2015-02-03,Pasto,Tolima,0,1,A,-1,1,0,3
2015,Apertura,2015-02-03,Millonarios,Santa Fe,1,0,H,1,1,3,0
2015,Apertura,2015-02-03,Jaguares,América de Cali,0,0,D,0,0,1,1
2015,Apertura,2015-02-03,Medellín,Tolima,1,2,A,-1,3,0,3
2015,Apertura,2015-02-04,Patriotas,Unión Magdalena,1,1,D,0,2,1,1
2015,Apertura,2015-02-04,Millonarios,Patriotas,1,2,A,-1,3,0,3
2015,Apertura,2015-02-04,Envigado,Once Caldas,3,0,H,3,3,3,0
2015,Apertura,2015-02-04,La Equidad,Junior,1,2,A,-1,3,0,3
2015,Apertura,2015-02-04,Envigado,Millonarios,2,3,A,-1,5,0,3
2015,Apertura,2015-02-05,Junior,Pasto,3,0,H,3,3,3,0
2015,Apertura,2015-02-05,Deportivo Cali,Medellín,3,1,H,2,4,3,0
2015,Apertura,2015-02-06,Santa Fe,Águilas Doradas,0,1,A,-1,1,0,3
2015,Apertura,2015-02-07,Once Caldas,América de Cali,3,1,H,2,4,3,0
2015,Apertura,2015-02-07,Deportivo Cali,Alianza Petrolera,0,0,D,0,0,1,1
2015,Apertura,2015-02-07,Jaguares,Patriotas,1,0,H,1,1,3,0
2015,Apertura,2015-02-08,Atlético Nacional,Unión Magdalena,1,1,D,0,2,1,1
2015,Apertura,2015-02-08,Medellín,La Equidad,0,1,A,-1,1,0,3
2015,Apertura,2015-02-08,Patriotas,Boyacá Chicó,0,2,A,-2,2,0,3
2015,Apertura,2015-02-08,Santa Fe,Unión Magdalena,0,1,A,-1,1,0,3
2015,Apertura,2015-02-08,Águilas Doradas,Deportivo Pereira,1,0,H,1,1,3,0
2015,Apertura,2015-02-09,Alianza Petrolera,Deportivo Cali,1,1,D,0,2,1,1
2015,Apertura,2015-02-09,Atlético Nacional,Patriotas,3,1,H,2,4,3,0
2015,Apertura,2015-02-09,La Equidad,Once Caldas,1,2,A,-1,3,0,3
2015,Apertura,2015-02-09,Alianza Petrolera,Patriotas,2,0,H,2,2,3,0
2015,Apertura,2015-02-09,Deportivo Cali,Patriotas,3,1,H,2,4,3,0
2015,Apertura,2015-02-10,Deportivo Pereira,Millonarios,2,1,H,1,3,3,0
2015,Apertura,2015-02-10,Santa Fe,Once Caldas,1,3,A,-2,4,0,3
2015,Apertura,2015-02-10,Unión Magdalena,Junior,1,1,D,0,2,1,1
2015,Apertura,2015-02-11,Alianza Petrolera,Tolima,0,1,A,-1,1,0,3
2015,Apertura,2015-02-11,Alianza Petrolera,Bucaramanga,0,2,A,-2,2,0,3
2015,Apertura,2015-02-11,Pasto,Alianza Petrolera,3,2,H,1,5,3,0
2015,Apertura,2015-02-12,Tolima,América de Cali,0,0,D,0,0,1,1
2015,Apertura,2015-02-12,Once Caldas,Junior,3,1,H,2,4,3,0
2015,Apertura,2015-02-12,Atlético Nacional,Alianza Petrolera,5,0,H,5,5,3,0
2015,Apertura,2015-02-12,Boyacá Chicó,Medellín,0,2,A,-2,2,0,3
2015,Apertura,2015-02-12,Alianza Petrolera,Santa Fe,0,3,A,-3,3,0,3
2015,Apertura,2015-02-13,Envigado,La Equidad,3,4,A,-1,7,0,3
2015,Apertura,2015-02-13,Unión Magdalena,Pasto,2,3,A,-1,5,0,3
2015,Apertura,2015-02-13,Atlético Nacional,Jaguares,4,0,H,4,4,3,0
2015,Apertura,2015-02-13,La Equidad,Envigado,1,1,D,0,2,1,1
2015,Apertura,2015-02-14,Atlético Nacional,Boyacá Chicó,3,1,H,2,4,3,0
2015,Apertura,2015-02-14,Junior,Atlético Nacional,0,2,A,-2,2,0,3
2015,Apertura,2015-02-15,Boyacá Chicó,Millonarios,1,1,D,0,2,1,1
2015,Apertura,2015-02-16,Tolima,Boyacá Chicó,1,0,H,1,1,3,0
2015,Apertura,2015-02-17,Jaguares,Santa Fe,2,0,H,2,2,3,0
2015,Apertura,2015-02-18,Junior,Águilas Doradas,4,2,H,2,6,3,0
2015,Apertura,2015-02-18,Patriotas,Águilas Doradas,2,0,H,2,2,3,0
2015,Apertura,2015-02-19,Unión Magdalena,La Equidad,2,0,H,2,2,3,0
2015,Apertura,2015-02-20,Jaguares,Unión Magdalena,0,0,D,0,0,1,1
2015,Apertura,2015-02-21,Once Caldas,Millonarios,2,1,H,1,3,3,0
2015,Apertura,2015-02-21,Águilas Doradas,Alianza Petrolera,3,2,H,1,5,3,0
2015,Apertura,2015-02-21,Patriotas,Bucaramanga,4,1,H,3,5,3,0
2015,Apertura,2015-02-21,Deportivo Pereira,Santa Fe,1,0,H,1,1,3,0
2015,Apertura,2015-02-22,Alianza Petrolera,Boyacá Chicó,3,0,H,3,3,3,0
2015,Apertura,2015-02-23,Once Caldas,Boyacá Chicó,0,1,A,-1,1,0,3
2015,Apertura,2015-02-24,Santa Fe,Deportivo Pereira,2,0,H,2,2,3,0
2015,Apertura,2015-02-24,Millonarios,La Equidad,1,2,A,-1,3,0,3
2015,Apertura,2015-02-24,Boyacá Chicó,La Equidad,2,1,H,1,3,3,0
2015,Apertura,2015-02-24,Bucaramanga,Jaguares,3,1,H,2,4,3,0
2015,Apertura,2015-02-24,Patriotas,América de Cali,2,1,H,1,3,3,0
2015,Apertura,2015-02-24,Millonarios,Medellín,1,1,D,0,2,1,1
2015,Apertura,2015-02-25,Atlético Nacional,Once Caldas,0,3,A,-3,3,0,3
2015,Apertura,2015-02-26,Águilas Doradas,Patriotas,0,3,A,-3,3,0,3
2015,Apertura,2015-02-26,Patriotas,Medellín,0,2,A,-2,2,0,3
2015,Apertura,2015-02-26,Bucaramanga,Patriotas,0,1,A,-1,1,0,3
2015,Apertura,2015-02-26,Tolima,Deportivo Pereira,3,0,H,3,3,3,0
2015,Apertura,2015-02-26,Jaguares,Envigado,4,1,H,3,5,3,0
2015,Apertura,2015-02-27,Santa Fe,Atlético Nacional,3,0,H,3,3,3,0
2015,Apertura,2015-02-27,Águilas Doradas,Junior,2,1,H,1,3,3,0
2015,Apertura,2015-02-28,Boyacá Chicó,Deportivo Cali,1,1,D,0,2,1,1
2015,Apertura,2015-03-01,Águilas Doradas,Tolima,1,0,H,1,1,3,0
2015,Apertura,2015-03-01,Jaguares,Medellín,0,2,A,-2,2,0,3
2015,Apertura,2015-03-01,Jaguares,Boyacá Chicó,0,2,A,-2,2,0,3
2015,Apertura,2015-03-02,Pasto,La Equidad,2,0,H,2,2,3,0
2015,Apertura,2015-03-02,Tolima,Atlético Nacional,2,1,H,1,3,3,0
2015,Apertura,2015-03-02,Once Caldas,Tolima,3,4,A,-1,7,0,3
2015,Apertura,2015-03-02,Medellín,Santa Fe,0,0,D,0,0,1,1
2015,Apertura,2015-03-03,Pasto,Atlético Nacional,2,0,H,2,2,3,0
2015,Apertura,2015-03-04,Bucaramanga,Envigado,0,2,A,-2,2,0,3
2015,Apertura,2015-03-05,Bucaramanga,Pasto,1,1,D,0,2,1,1
2015,Apertura,2015-03-05,Tolima,Unión Magdalena,4,1,H,3,5,3,0
2015,Apertura,2015-03-05,América de Cali,Santa Fe,2,0,H,2,2,3,0
2015,Apertura,2015-03-05,Junior,Deportivo Pereira,0,0,D,0,0,1,1
2015,Apertura,2015-03-05,Unión Magdalena,Jaguares,2,1,H,1,3,3,0
2015,Apertura,2015-03-05,Deportivo Cali,Millonarios,1,0,H,1,1,3,0
2015,Apertura,2015-03-05,Envigado,Unión Magdalena,0,0,D,0,0,1,1
2015,Apertura,2015-03-06,Junior,Jaguares,2,0,H,2,2,3,0
2015,Apertura,2015-03-06,Boyacá Chicó,Tolima,2,2,D,0,4,1,1
2015,Apertura,2015-03-06,Medellín,Jaguares,4,2,H,2,6,3,0
2015,Apertura,2015-03-06,América de Cali,Unión Magdalena,1,0,H,1,1,3,0
2015,Apertura,2015-03-07,Deportivo Pereira,Junior,1,1,D,0,2,1,1
2015,Apertura,2015-03-07,Jaguares,Bucaramanga,5,1,H,4,6,3,0
2015,Apertura,2015-03-07,Atlético Nacional,La Equidad,1,2,A,-1,3,0,3
2015,Apertura,2015-03-07,Envigado,Tolima,1,1,D,0,2,1,1
2015,Apertura,2015-03-08,Pasto,Unión Magdalena,2,0,H,2,2,3,0
2015,Apertura,2015-03-08,Envigado,Bucaramanga,1,1,D,0,2,1,1
2015,Apertura,2015-03-08,Envigado,Alianza Petrolera,1,0,H,1,1,3,0
2015,Apertura,2015-03-11,Medellín,Once Caldas,1,2,A,-1,3,0,3
2015,Apertura,2015-03-12,Pasto,Medellín,0,0,D,0,0,1,1
2015,Apertura,2015-03-12,Patriotas,Millonarios,2,2,D,0,4,1,1
2015,Apertura,2015-03-12,Millonarios,Unión Magdalena,1,2,A,-1,3,0,3
2015,Apertura,2015-03-13,Unión Magdalena,Águilas Doradas,2,1,H,1,3,3,0
2015,Apertura,2015-03-13,Santa Fe,Bucaramanga,2,2,D,0,4,1,1
2015,Apertura,2015-03-14,Santa Fe,Patriotas,2,0,H,2,2,3,0
2015,Apertura,2015-03-14,Medellín,Bucaramanga,2,0,H,2,2,3,0
2015,Apertura,2015-03-16,Jaguares,Tolima,3,0,H,3,3,3,0
2015,Apertura,2015-03-16,Deportivo Pereira,Jaguares,5,1,H,4,6,3,0
2015,Apertura,2015-03-16,Santa Fe,Deportivo Cali,1,2,A,-1,3,0,3
2015,Apertura,2015-03-17,Once Caldas,Atlético Nacional,0,0,D,0,0,1,1
2015,Apertura,2015-03-17,Atlético Nacional,Medellín,1,3,A,-2,4,0,3
2015,Apertura,2015-03-18,Alianza Petrolera,Jaguares,0,0,D,0,0,1,1
2015,Apertura,2015-03-19,Tolima,Junior,1,0,H,1,1,3,0
2015,Apertura,2015-03-19,Atlético Nacional,Millonarios,3,0,H,3,3,3,0
2015,Apertura,2015-03-19,Medellín,Alianza Petrolera,0,0,D,0,0,1,1
2015,Apertura,2015-03-19,Deportivo Cali,La Equidad,1,1,D,0,2,1,1
2015,Apertura,2015-03-20,Deportivo Cali,América de Cali,1,3,A,-2,4,0,3
2015,Apertura,2015-03-20,Junior,Millonarios,2,2,D,0,4,1,1
2015,Apertura,2015-03-21,Águilas Doradas,Deportivo Cali,1,1,D,0,2,1,1
2015,Apertura,2015-03-22,Boyacá Chicó,Atlético Nacional,3,0,H,3,3,3,0
2015,Apertura,2015-03-22,Santa Fe,Millonarios,7,0,H,7,7,3,0
2015,Apertura,2015-03-23,Águilas Doradas,Unión Magdalena,1,1,D,0,2,1,1
2015,Apertura,2015-03-23,Alianza Petrolera,Unión Magdalena,0,0,D,0,0,1,1
2015,Apertura,2015-03-23,La Equidad,Tolima,2,1,H,1,3,3,0
2015,Apertura,2015-03-24,Envigado,Jaguares,0,1,A,-1,1,0,3
2015,Apertura,2015-03-24,Tolima,Pasto,4,0,H,4,4,3,0
2015,Apertura,2015-03-24,Águilas Doradas,Boyacá Chicó,1,0,H,1,1,3,0
2015,Apertura,2015-03-25,Unión Magdalena,Patriotas,1,2,A,-1,3,0,3
2015,Apertura,2015-03-25,Envigado,América de Cali,0,2,A,-2,2,0,3
2015,Apertura,2015-03-25,Alianza Petrolera,Junior,0,1,A,-1,1,0,3
2015,Apertura,2015-03-25,Millonarios,Once Caldas,1,1,D,0,2,1,1
2015,Apertura,2015-03-26,Boyacá Chicó,Alianza Petrolera,1,1,D,0,2,1,1
2015,Apertura,2015-03-27,Medellín,Deportivo Pereira,2,2,D,0,4,1,1
2015,Apertura,2015-03-27,Junior,Deportivo Cali,2,0,H,2,2,3,0
2015,Apertura,2015-03-28,La Equidad,Millonarios,3,2,H,1,5,3,0
2015,Apertura,2015-03-28,La Equidad,Jaguares,1,1,D,0,2,1,1
2015,Apertura,2015-04-01,Deportivo Pereira,Alianza Petrolera,2,2,D,0,4,1,1
2015,Apertura,2015-04-02,Tolima,Millonarios,1,2,A,-1,3,0,3
2015,Apertura,2015-04-03,Boyacá Chicó,Santa Fe,0,0,D,0,0,1,1
2015,Apertura,2015-04-03,Once Caldas,Envigado,1,1,D,0,2,1,1
2015,Apertura,2015-04-03,Santa Fe,Alianza Petrolera,2,1,H,1,3,3,0
2015,Apertura,2015-04-03,Medellín,Deportivo Cali,3,1,H,2,4,3,0
2015,Apertura,2015-04-04,Unión Magdalena,Alianza Petrolera,1,0,H,1,1,3,0
2015,Apertura,2015-04-05,Bucaramanga,Millonarios,1,2,A,-1,3,0,3
2015,Apertura,2015-04-05,Junior,Envigado,3,1,H,2,4,3,0
2015,Apertura,2015-04-06,Deportivo Pereira,Medellín,0,1,A,-1,1,0,3
2015,Apertura,2015-04-06,Patriotas,Jaguares,1,1,D,0,2,1,1
2015,Apertura,2015-04-06,Patriotas,Once Caldas,1,2,A,-1,3,0,3
2015,Apertura,2015-04-06,Medellín,Patriotas,3,1,H,2,4,3,0
2015,Apertura,2015-04-06,La Equidad,Águilas Doradas,2,2,D,0,4,1,1
2015,Apertura,2015-04-07,América de Cali,Deportivo Cali,0,0,D,0,0,1,1
2015,Apertura,2015-04-07,Jaguares,Millonarios,1,2,A,-1,3,0,3
2015,Apertura,2015-04-08,América de Cali,Pasto,3,1,H,2,4,3,0
2015,Apertura,2015-04-08,Águilas Doradas,Santa Fe,2,2,D,0,4,1,1
2015,Apertura,2015-04-08,Millonarios,América de Cali,1,2,A,-1,3,0,3
2015,Apertura,2015-04-10,Deportivo Cali,Santa Fe,0,0,D,0,0,1,1
2015,Apertura,2015-04-10,Santa Fe,Pasto,0,2,A,-2,2,0,3
2015,Apertura,2015-04-10,La Equidad,Boyacá Chicó,0,1,A,-1,1,0,3
2015,Apertura,2015-04-10,Unión Magdalena,Bucaramanga,3,2,H,1,5,3,0
2015,Apertura,2015-04-12,Santa Fe,La Equidad,0,0,D,0,0,1,1
2015,Apertura,2015-04-12,La Equidad,Santa Fe,2,0,H,2,2,3,0
2015,Apertura,2015-04-13,Deportivo Pereira,Patriotas,0,1,A,-1,1,0,3
2015,Apertura,2015-04-13,La Equidad,Medellín,2,1,H,1,3,3,0
2015,Apertura,2015-04-14,Águilas Doradas,América de Cali,1,2,A,-1,3,0,3
2015,Apertura,2015-04-14,América de Cali,La Equidad,0,1,A,-1,1,0,3
2015,Apertura,2015-04-15,Millonarios,Águilas Doradas,3,1,H,2,4,3,0
2015,Apertura,2015-04-15,Jaguares,Águilas Doradas,0,0,D,0,0,1,1
2015,Apertura,2015-04-16,Medellín,Boyacá Chicó,1,0,H,1,1,3,0
2015,Apertura,2015-04-17,Junior,Patriotas,1,0,H,1,1,3,0
2015,Apertura,2015-04-18,Junior,La Equidad,2,2,D,0,4,1,1
2015,Apertura,2015-04-19,Envigado,Boyacá Chicó,2,1,H,1,3,3,0
2015,Apertura,2015-04-20,América de Cali,Deportivo Pereira,2,2,D,0,4,1,1
2015,Apertura,2015-04-20,Once Caldas,Medellín,1,1,D,0,2,1,1
2015,Apertura,2015-04-20,Atlético Nacional,Tolima,1,1,D,0,2,1,1
2015,Apertura,2015-04-22,Santa Fe,Tolima,2,0,H,2,2,3,0
2015,Apertura,2015-04-22,La Equidad,América de Cali,3,0,H,3,3,3,0
2015,Apertura,2015-04-22,Envigado,Pasto,0,2,A,-2,2,0,3
2015,Apertura,2015-04-23,Once Caldas,Jaguares,2,1,H,1,3,3,0
2015,Apertura,2015-04-24,Bucaramanga,Santa Fe,3,2,H,1,5,3,0
2015,Apertura,2015-04-24,Bucaramanga,Junior,1,2,A,-1,3,0,3
2015,Apertura,2015-04-25,Once Caldas,Bucaramanga,3,1,H,2,4,3,0
2015,Apertura,2015-04-26,Deportivo Pereira,La Equidad,1,1,D,0,2,1,1
2015,Apertura,2015-04-27,Once Caldas,Patriotas,0,1,A,-1,1,0,3
2015,Apertura,2015-04-28,Pasto,Junior,2,1,H,1,3,3,0
2015,Apertura,2015-04-28,Millonarios,Boyacá Chicó,3,5,A,-2,8,0,3
2015,Apertura,2015-04-28,Santa Fe,Medellín,2,2,D,0,4,1,1
2015,Apertura,2015-05-01,Deportivo Pereira,Once Caldas,2,0,H,2,2,3,0
2015,Apertura,2015-05-02,Alianza Petrolera,Atlético Nacional,0,1,A,-1,1,0,3
2015,Apertura,2015-05-02,Deportivo Pereira,Águilas Doradas,4,3,H,1,7,3,0
2015,Apertura,2015-05-02,Medellín,Águilas Doradas,1,2,A,-1,3,0,3
2015,Apertura,2015-05-03,Once Caldas,Unión Magdalena,1,0,H,1,1,3,0
2015,Apertura,2015-05-04,América de Cali,Envigado,4,2,H,2,6,3,0
2015,Apertura,2015-05-04,Millonarios,Alianza Petrolera,0,3,A,-3,3,0,3
2015,Apertura,2015-05-04,Deportivo Cali,Pasto,4,1,H,3,5,3,0
2015,Apertura,2015-05-05,Envigado,Santa Fe,2,1,H,1,3,3,0
2015,Apertura,2015-05-06,Atlético Nacional,Bucaramanga,2,1,H,1,3,3,0
2015,Apertura,2015-05-07,Santa Fe,Jaguares,2,0,H,2,2,3,0
2015,Apertura,2015-05-07,Unión Magdalena,Deportivo Pereira,0,1,A,-1,1,0,3
2015,Apertura,2015-05-07,Jaguares,La Equidad,1,2,A,-1,3,0,3
2015,Apertura,2015-05-08,América de Cali,Atlético Nacional,0,0,D,0,0,1,1
2015,Apertura,2015-05-08,Tolima,Envigado,2,0,H,2,2,3,0
2015,Apertura,2015-05-08,Millonarios,Envigado,2,0,H,2,2,3,0
2015,Apertura,2015-05-08,Jaguares,Atlético Nacional,3,2,H,1,5,3,0
2015,Apertura,2015-05-08,Deportivo Pereira,Pasto,1,3,A,-2,4,0,3
2015,Apertura,2015-05-09,Águilas Doradas,Atlético Nacional,0,1,A,-1,1,0,3
2015,Apertura,2015-05-09,Patriotas,Deportivo Pereira,2,1,H,1,3,3,0
2015,Apertura,2015-05-09,Tolima,Bucaramanga,1,1,D,0,2,1,1
2015,Apertura,2015-05-09,Boyacá Chicó,Junior,1,0,H,1,1,3,0
2015,Apertura,2015-05-10,Unión Magdalena,Tolima,1,1,D,0,2,1,1
2015,Apertura,2015-05-10,La Equidad,Deportivo Cali,2,1,H,1,3,3,0
2015,Apertura,2015-05-11,Deportivo Cali,Unión Magdalena,1,0,H,1,1,3,0
2015,Apertura,2015-05-11,Millonarios,Bucaramanga,2,0,H,2,2,3,0
2015,Apertura,2015-05-12,Bucaramanga,La Equidad,0,2,A,-2,2,0,3
2015,Apertura,2015-05-12,Alianza Petrolera,América de Cali,5,0,H,5,5,3,0
2015,Apertura,2015-05-14,Junior,Once Caldas,0,1,A,-1,1,0,3
2015,Apertura,2015-05-15,Medellín,Atlético Nacional,2,0,H,2,2,3,0
2015,Apertura,2015-05-15,Once Caldas,Águilas Doradas,2,2,D,0,4,1,1
2015,Apertura,2015-05-16,Millonarios,Pasto,0,1,A,-1,1,0,3
2015,Apertura,2015-05-17,Tolima,Jaguares,1,0,H,1,1,3,0
2015,Apertura,2015-05-17,Boyacá Chicó,Patriotas,4,0,H,4,4,3,0
2015,Apertura,2015-05-17,Millonarios,Deportivo Pereira,2,0,H,2,2,3,0
2015,Apertura,2015-05-17,Deportivo Pereira,Envigado,1,0,H,1,1,3,0
2015,Apertura,2015-05-17,Pasto,Boyacá Chicó,3,1,H,2,4,3,0
2015,Apertura,2015-05-18,Medellín,Unión Magdalena,0,1,A,-1,1,0,3
2015,Apertura,2015-05-18,Águilas Doradas,Jaguares,0,1,A,-1,1,0,3
2015,Apertura,2015-05-19,Tolima,Patriotas,2,0,H,2,2,3,0
2015,Apertura,2015-05-19,Atlético Nacional,América de Cali,1,0,H,1,1,3,0
2015,Apertura,2015-05-19,Atlético Nacional,Águilas Doradas,3,0,H,3,3,3,0
2015,Apertura,2015-05-20,Unión Magdalena,América de Cali,4,1,H,3,5,3,0
2015,Apertura,2015-05-20,Unión Magdalena,Once Caldas,1,0,H,1,1,3,0
2015,Apertura,2015-05-20,Atlético Nacional,Pasto,1,2,A,-1,3,0,3
2015,Apertura,2015-05-20,Santa Fe,Envigado,2,1,H,1,3,3,0
2015,Apertura,2015-05-20,Jaguares,Alianza Petrolera,4,2,H,2,6,3,0
2015,Apertura,2015-05-22,Millonarios,Atlético Nacional,4,0,H,4,4,3,0
2015,Apertura,2015-05-24,Patriotas,Pasto,0,1,A,-1,1,0,3
2015,Apertura,2015-05-24,Pasto,Envigado,2,1,H,1,3,3,0
2015,Apertura,2015-05-25,Medellín,Envigado,0,1,A,-1,1,0,3
2015,Apertura,2015-05-25,Junior,América de Cali,4,0,H,4,4,3,0
2015,Apertura,2015-05-26,Boyacá Chicó,Bucaramanga,1,0,H,1,1,3,0
2015,Apertura,2015-05-26,Deportivo Cali,Once Caldas,2,2,D,0,4,1,1
2015,Apertura,2015-05-27,Boyacá Chicó,Envigado,0,0,D,0,0,1,1
2015,Apertura,2015-05-28,Deportivo Cali,Boyacá Chicó,3,1,H,2,4,3,0
2015,Apertura,2015-06-01,Bucaramanga,Águilas Doradas,2,0,H,2,2,3,0
2015,Apertura,2015-06-01,Alianza Petrolera,Medellín,2,4,A,-2,6,0,3
2015,Apertura,2015-06-02,América de Cali,Patriotas,0,3,A,-3,3,0,3
2015,Apertura,2015-06-02,Patriotas,Santa Fe,1,2,A,-1,3,0,3
2015,Apertura,2015-06-02,Bucaramanga,Medellín,0,0,D,0,0,1,1
2015,Apertura,2015-06-03,Pasto,Patriotas,1,2,A,-1,3,0,3
2015,Apertura,2015-06-03,Jaguares,Junior,2,3,A,-1,5,0,3
2015,Apertura,2015-06-03,Deportivo Pereira,América de Cali,1,1,D,0,2,1,1
2015,Apertura,2015-06-04,Millonarios,Tolima,0,0,D,0,0,1,1
2015,Apertura,2015-06-04,La Equidad,Alianza Petrolera,2,2,D,0,4,1,1
2015,Apertura,2015-06-04,Atlético Nacional,Deportivo Pereira,0,0,D,0,0,1,1
2015,Apertura,2015-06-04,América de Cali,Medellín,2,0,H,2,2,3,0
2015,Apertura,2015-06-05,Tolima,Once Caldas,4,0,H,4,4,3,0
2015,Apertura,2015-06-05,Unión Magdalena,Santa Fe,0,0,D,0,0,1,1
2015,Apertura,2015-06-05,Santa Fe,América de Cali,0,0,D,0,0,1,1
